Iteration: 1, Perplexity: 79669.9231957
Iteration: 2, Perplexity: 86267.6741024
Iteration: 3, Perplexity: 72260.3536067
Iteration: 4, Perplexity: 75132.4076593
Iteration: 5, Perplexity: 68932.6029131
Iteration: 6, Perplexity: 71197.8334108
Iteration: 7, Perplexity: 67782.5377845
Iteration: 8, Perplexity: 69379.5774141
Iteration: 9, Perplexity: 67383.7075589
Iteration: 10, Perplexity: 68477.8018834
Iteration: 11, Perplexity: 67207.1847963
Iteration: 12, Perplexity: 68004.1538837
Iteration: 13, Perplexity: 67138.9553795
Iteration: 14, Perplexity: 67708.2593908
Iteration: 15, Perplexity: 67131.6639346
Iteration: 16, Perplexity: 67524.4769137
Iteration: 17, Perplexity: 67132.1110911
Iteration: 18, Perplexity: 67413.7101219
Iteration: 19, Perplexity: 67138.8498145
Iteration: 20, Perplexity: 67339.825439
Iteration: 21, Perplexity: 67149.7850062
Iteration: 22, Perplexity: 67290.830658
Iteration: 23, Perplexity: 67158.762079
Iteration: 24, Perplexity: 67259.2257454
Iteration: 25, Perplexity: 67166.0293807
Iteration: 26, Perplexity: 67237.7802261
Iteration: 27, Perplexity: 67172.3205073
Iteration: 28, Perplexity: 67223.127439
Iteration: 29, Perplexity: 67177.1443729
Iteration: 30, Perplexity: 67213.3194518
Iteration: 31, Perplexity: 67180.7511381
Iteration: 32, Perplexity: 67206.5975774
Iteration: 33, Perplexity: 67183.5491211
Iteration: 34, Perplexity: 67201.9331033
Iteration: 35, Perplexity: 67185.6323888
Iteration: 36, Perplexity: 67198.7420931
Iteration: 37, Perplexity: 67187.1593955
Iteration: 38, Perplexity: 67196.5257185
Iteration: 39, Perplexity: 67188.2983335
Iteration: 40, Perplexity: 67194.9793762
Iteration: 41, Perplexity: 67189.1321605
Iteration: 42, Perplexity: 67193.9036297
Iteration: 43, Perplexity: 67189.740378
Iteration: 44, Perplexity: 67193.1507383
Iteration: 45, Perplexity: 67190.1847357
Iteration: 46, Perplexity: 67192.621374
Iteration: 47, Perplexity: 67190.5078833
Iteration: 48, Perplexity: 67192.250355
Iteration: 49, Perplexity: 67190.7423803
Iteration: 50, Perplexity: 67191.9887961
Iteration: 51, Perplexity: 67190.912902
Iteration: 52, Perplexity: 67191.804427
Iteration: 53, Perplexity: 67191.036087
Iteration: 54, Perplexity: 67191.6743361
Iteration: 55, Perplexity: 67191.1253299
Iteration: 56, Perplexity: 67191.5821585
