Predictions for test data:

No. Filename Pos_probability Neg_probability
1 10066.txt -8093.41079315 -8180.4719508
2 10073.txt -11389.520639 -11291.1424277
3 10171.txt -8265.38457149 -8091.66944096
4 10185.txt -2186.69313013 -2179.78865895
5 10220.txt -1979.74257859 -1996.55392611
6 10246.txt -4150.6178486 -4329.27852736
7 10267.txt -1661.70712337 -1695.68594596
8 10331.txt -6009.09437439 -6105.2643182
9 10583.txt -3503.36002917 -3518.23927786
10 10601.txt -4261.3442807 -4227.59841076
11 10681.txt -5181.76831272 -5287.74913552
12 10706.txt -3853.52745305 -3809.98923545
13 10718.txt -4924.09447135 -4937.59999473
14 10724.txt -3205.01913174 -3208.20133433
15 10800.txt -3431.27608679 -3376.01803182
16 10874.txt -4231.73447343 -4336.65690089
17 10926.txt -3801.74378895 -3824.57915211
18 10953.txt -3257.67888999 -3272.39003143
19 10981.txt -6398.7800855 -6489.20604348
20 11017.txt -1813.27101512 -1807.25333611
21 11051.txt -2976.03218677 -3168.16334847
22 11247.txt -3015.19990455 -3012.60195703
23 11316.txt -2112.93102117 -2103.67039743
24 11471.txt -5703.54849402 -5659.88996811
25 11491.txt -2340.78312791 -2328.97737677
26 11591.txt -7145.11834421 -7333.51873237
27 11592.txt -2223.80308803 -2262.78761913
28 11609.txt -5316.84685803 -5412.82809483
29 11790.txt -5409.97938188 -5292.5435274
30 11816.txt -5913.1888241 -5785.11376622
31 11851.txt -4933.56423516 -4657.74917853
32 11920.txt -9236.82682279 -9225.3730655
33 11934.txt -1988.31422096 -1986.69671079
34 11951.txt -5554.49255713 -5380.56209218
35 11962.txt -10117.4083431 -9972.67046383
36 12160.txt -6559.15684487 -6603.73705336
37 12162.txt -4426.46934923 -4549.22373004
38 12256.txt -7619.40939565 -7759.75095013
39 12270.txt -3819.17633985 -3775.05928633
40 12332.txt -5732.57553043 -5657.59199166
41 12350.txt -3719.07989644 -3719.11113399
42 12443.txt -2067.28320389 -2031.42027863
43 12447.txt -6930.4149979 -6899.58580577
44 12547.txt -8460.77996119 -8266.39684618
45 12747.txt -2881.8781579 -2965.34348556
46 12767.txt -3861.80727306 -3918.09512087
47 12806.txt -6460.09311076 -6425.39665357
48 13012.txt -3740.77031535 -3643.06009547
49 13020.txt -3776.11307655 -3751.77825029
50 13106.txt -6943.70964183 -7267.75446115
51 13217.txt -4717.34809318 -4636.73853747
52 13229.txt -5910.16339588 -5831.4199818
53 13250.txt -3981.18378199 -4015.9703763
54 13401.txt -4189.00049645 -4108.86297334
55 13475.txt -6697.47362447 -6800.86249776
56 13478.txt -9203.94426016 -9123.48212434
57 13521.txt -5943.95560017 -6008.3667661
58 13527.txt -8350.26210257 -8290.60891814
59 13988.txt -6307.79052799 -6233.60755674
60 14006.txt -3277.93267466 -3261.99772619
61 14111.txt -4144.11550543 -4207.91207599
62 14611.txt -2843.29108671 -2834.13412432
63 14636.txt -3582.60327479 -3563.1873692
64 14760.txt -1674.12469139 -1671.64912117
65 14854.txt -3157.72858501 -3105.72279766
66 14949.txt -3030.3915997 -2959.61966624
67 14989.txt -4671.90655689 -4735.18750401
68 15042.txt -4234.03945198 -4212.35043459
69 15092.txt -3821.79366431 -3792.40934357
70 15467.txt -4300.57641053 -4434.76368134
71 15691.txt -3972.81982175 -3942.2988636
72 15824.txt -5749.48004026 -5581.5213041
73 15954.txt -10777.1722398 -11047.7902902
74 16009.txt -11199.5382944 -11254.1773134
75 16218.txt -3935.12847835 -3840.83827441
76 16380.txt -3777.15931217 -3871.01011915
77 16679.txt -5813.77457292 -5814.68307203
78 16908.txt -6633.46754061 -6725.58090646
79 17034.txt -3321.48378359 -3252.8048082
80 17059.txt -3469.37976811 -3519.04609332
81 17082.txt -4113.55590697 -4120.41363068
82 17297.txt -2933.18703991 -2893.73499028
83 17473.txt -3848.24514001 -3793.0627612
84 17563.txt -2194.49738737 -2244.33730885
85 17705.txt -4208.71953672 -4263.26894728
86 17779.txt -6542.36772336 -6543.38702744
87 17822.txt -5083.65946281 -5207.86760109
88 18155.txt -3220.56068047 -3170.42769154
89 1841.txt -2001.56158937 -1981.92934276
90 18450.txt -4764.30293357 -4887.32462266
91 18471.txt -10575.4873856 -10717.3612817
92 18509.txt -4629.09049264 -4627.34063565
93 18628.txt -3304.57637269 -3312.48246137
94 18645.txt -4221.61871955 -4233.45978991
95 18658.txt -12699.296061 -13194.2812203
96 18740.txt -6038.96952285 -6163.55981701
97 18783.txt -2470.79262192 -2489.48947467
98 18921.txt -5801.41686428 -5821.58257688
99 18935.txt -1209.17633783 -1190.49388431
100 18981.txt -2047.59219286 -2046.07331224
101 19027.txt -3338.75108194 -3370.12786376
102 19532.txt -5878.80977771 -5802.24795186
103 19932.txt -4869.67902755 -4946.11120687
104 19973.txt -4991.77437298 -5035.48210899
105 20084.txt -4973.18224406 -4857.09817069
106 20112.txt -5903.53296463 -5941.02492391
107 20168.txt -5668.18283117 -5615.21117739
108 20260.txt -4258.67830978 -4252.7414476
109 2029.txt -4166.52496982 -4141.07276018
110 20426.txt -6463.17402153 -6421.73347338
111 20488.txt -7412.66382738 -7455.51009293
112 20929.txt -5707.90050998 -5683.16248371
113 21103.txt -4287.97949618 -4368.43886173
114 21565.txt -5715.57815027 -5636.11411361
115 21695.txt -5948.66869744 -5752.07165919
116 21821.txt -5125.51024581 -5175.61062022
117 21930.txt -4381.47362094 -4244.32738559
118 22192.txt -4450.12962387 -4558.9175136
119 22209.txt -3015.92436818 -2925.06218012
120 22488.txt -2321.3322567 -2360.79870048
121 22928.txt -5352.84892527 -5470.45189491
122 22941.txt -3493.48477889 -3554.63192322
123 23113.txt -9989.87323868 -9689.53354638
124 23547.txt -3593.96806686 -3454.12507464
125 23776.txt -5936.44096443 -6061.32297443
126 23841.txt -10416.9013389 -10637.5556889
127 24218.txt -4531.29837236 -4582.53315803
128 24219.txt -3867.91806878 -3839.1173666
129 24303.txt -2871.05361225 -2870.83405225
130 24353.txt -3105.18748154 -3135.96181387
131 24606.txt -2696.87471309 -2735.79078711
132 24953.txt -9579.58773452 -9541.72745045
133 24977.txt -5672.27191552 -5648.39556224
134 25001.txt -6330.58087394 -6395.01995066
135 25240.txt -4707.96471449 -4525.76501567
136 25413.txt -5777.83225807 -5635.47628337
137 25663.txt -1411.00738056 -1408.73130744
138 25870.txt -4260.15662802 -4105.77547318
139 26071.txt -3774.59403794 -3768.05552911
140 26154.txt -2871.9185942 -2845.95389622
141 26375.txt -4692.25183219 -4693.03585527
142 26417.txt -3839.82174404 -3857.14370238
143 26688.txt -4790.69272984 -4723.1999442
144 26837.txt -5143.86866685 -5172.45818767
145 2693.txt -3575.74359447 -3493.91299448
146 27080.txt -3974.47983438 -3952.03599007
147 2856.txt -2997.64067787 -2957.22493874
148 28671.txt -4885.29975936 -4856.92388818
149 28742.txt -2249.98377448 -2194.73574605
150 28832.txt -4523.13755809 -4576.26753902
151 28877.txt -4262.36523697 -4242.30390959
152 28965.txt -4236.24622532 -4235.42047792
153 29007.txt -6428.49088489 -6411.29988533
154 29114.txt -5781.03725475 -5879.55764372
155 29127.txt -2861.62667871 -2837.78237359
156 29252.txt -5812.83806216 -5855.38131601
157 29397.txt -3704.79595572 -3656.66781741
158 29423.txt -2275.58266572 -2112.24565941
159 29484.txt -4433.39077045 -4382.58401357
160 29540.txt -3855.09175931 -3872.07671786
161 29565.txt -1843.32657111 -1832.89340938
162 29622.txt -3687.4349564 -3820.29124272
163 29715.txt -4559.91314748 -4536.06576254
164 29737.txt -4666.9208298 -4719.4790513
165 3193.txt -4389.32320055 -4417.52213442
166 3541.txt -5069.44189077 -5116.96992886
167 4776.txt -3356.09001252 -3294.36754531
168 4938.txt -2923.81514401 -2987.90421067
169 5046.txt -7570.82404265 -7709.72461876
170 5152.txt -2725.77319765 -2725.62739031
171 5562.txt -7125.34422295 -7101.16083803
172 5578.txt -2368.81011003 -2339.83469448
173 5626.txt -4166.98745162 -4176.42959652
174 5674.txt -3377.96927411 -3399.78459228
175 5682.txt -3437.81903649 -3501.76337366
176 5788.txt -7960.93454872 -8029.18193691
177 5794.txt -3959.66562225 -3943.5435309
178 5964.txt -4795.55961534 -4756.400654
179 6021.txt -6211.39885461 -6164.24513228
180 6359.txt -4408.18627711 -4432.971036
181 6836.txt -5716.16025904 -5828.08731923
182 6895.txt -5424.3191691 -5432.62946034
183 6965.txt -1448.48362892 -1447.42646765
184 7078.txt -3413.03464699 -3356.49919294
185 7208.txt -5297.52592874 -5304.08949054
186 7394.txt -5044.43873103 -4934.48853197
187 8737.txt -3357.73239908 -3384.94706198
188 8841.txt -3205.67889678 -3166.21088992
189 8969.txt -5016.48542705 -5158.31804932
190 9059.txt -2935.81783652 -2931.68107152
191 9168.txt -8112.49320512 -8086.25227589
192 9342.txt -3690.64301689 -3734.34586261
193 9459.txt -3282.11311148 -3237.09823066
194 9478.txt -8378.26238738 -8010.68558171
195 9803.txt -3667.53768302 -3716.13650468
196 9811.txt -4045.609247 -4058.22756124
197 9813.txt -3920.04803301 -3871.29999032
198 9816.txt -3422.08506439 -3391.96142858
199 9960.txt -3975.6633176 -4003.29899656
200 9973.txt -2489.64920698 -2498.60412692

Percentage of positive and negative reviews:
neg_count: 106 pos_count: 94
