Predictions for test data:

No. Filename Pos_probability Neg_probability
1 10066.txt -8089.24426554 -8108.63549166
2 10073.txt -11302.1731019 -11279.3372012
3 10171.txt -8141.34781997 -8082.470788
4 10185.txt -2181.84282724 -2177.64638224
5 10220.txt -1977.11374645 -1979.40055068
6 10246.txt -4156.78984115 -4198.48207208
7 10267.txt -1663.32933143 -1674.26585174
8 10331.txt -6011.49473789 -6041.51834272
9 10583.txt -3500.95919846 -3509.08566145
10 10601.txt -4224.0937296 -4212.24024783
11 10681.txt -5187.09562597 -5223.98560417
12 10706.txt -3820.30789847 -3797.41644693
13 10718.txt -4917.06715483 -4924.41442824
14 10724.txt -3200.78726874 -3202.50954491
15 10800.txt -3403.20909333 -3379.49891176
16 10874.txt -4233.68019695 -4263.02590118
17 10926.txt -3798.64855258 -3803.71784589
18 10953.txt -3244.25172072 -3259.19284322
19 10981.txt -6403.08845708 -6445.70073849
20 11017.txt -1810.2183276 -1806.50673739
21 11051.txt -2983.03353971 -3024.13560806
22 11247.txt -3009.16922993 -3007.15337367
23 11316.txt -2108.80320755 -2103.2468729
24 11471.txt -5664.4553093 -5653.94345598
25 11491.txt -2299.06793621 -2306.74568395
26 11591.txt -7113.50073943 -7147.32368893
27 11592.txt -2225.29677807 -2239.60839649
28 11609.txt -5306.87010125 -5339.65679591
29 11790.txt -5298.93928255 -5276.94587497
30 11816.txt -5813.316627 -5785.74876011
31 11851.txt -4716.47118456 -4664.99213621
32 11920.txt -9220.49262609 -9213.06200984
33 11934.txt -1984.41330257 -1983.24317443
34 11951.txt -5442.31616775 -5388.84358224
35 11962.txt -9998.06762481 -9968.04423491
36 12160.txt -6559.66956659 -6584.45376785
37 12162.txt -4430.47543971 -4469.13347309
38 12256.txt -7580.57388906 -7628.14944867
39 12270.txt -3783.66230763 -3772.9366291
40 12332.txt -5699.0576515 -5662.57970025
41 12350.txt -3713.72276778 -3713.13417108
42 12443.txt -2045.99538378 -2033.12074458
43 12447.txt -6903.86474798 -6893.68499597
44 12547.txt -8348.41967232 -8273.74098083
45 12747.txt -2871.8427 -2896.38836974
46 12767.txt -3844.40235076 -3853.40007053
47 12806.txt -6425.08474172 -6398.69061775
48 13012.txt -3672.93171681 -3646.74111504
49 13020.txt -3741.7690153 -3735.01519102
50 13106.txt -6948.2714347 -7002.48385024
51 13217.txt -4630.524029 -4599.74143156
52 13229.txt -5867.9602987 -5821.9001007
53 13250.txt -3979.07051712 -3990.59829258
54 13401.txt -4152.87685178 -4114.23993076
55 13475.txt -6700.38110182 -6743.8104633
56 13478.txt -9148.04902324 -9109.88088745
57 13521.txt -5935.15046121 -5958.20614473
58 13527.txt -8328.34722907 -8292.40316626
59 13988.txt -6258.90143187 -6228.33623513
60 14006.txt -3255.66496331 -3246.81735096
61 14111.txt -4133.97609078 -4169.11178766
62 14611.txt -2827.03258528 -2829.25174528
63 14636.txt -3558.7389136 -3548.24699565
64 14760.txt -1670.75130768 -1669.72794011
65 14854.txt -3128.4243795 -3105.865103
66 14949.txt -2988.17110466 -2962.86752701
67 14989.txt -4660.92194121 -4689.31088126
68 15042.txt -4196.9316466 -4190.25607098
69 15092.txt -3795.78578818 -3786.67252376
70 15467.txt -4309.72194199 -4368.44222415
71 15691.txt -3959.17201206 -3942.36247161
72 15824.txt -5574.14896134 -5568.104295
73 15954.txt -10740.5420274 -10802.9072506
74 16009.txt -11168.9262158 -11169.8000393
75 16218.txt -3873.01880541 -3833.90219527
76 16380.txt -3766.97506403 -3796.77412643
77 16679.txt -5783.82600735 -5770.17717068
78 16908.txt -6627.98276434 -6650.18035971
79 17034.txt -3300.46577868 -3261.56161126
80 17059.txt -3471.4871833 -3491.44923102
81 17082.txt -4095.37629707 -4098.02941097
82 17297.txt -2910.44967901 -2895.3630821
83 17473.txt -3824.79604293 -3786.13288278
84 17563.txt -2198.08173311 -2218.66451864
85 17705.txt -4203.04698909 -4211.29493754
86 17779.txt -6530.23223642 -6523.52545032
87 17822.txt -5082.12360487 -5106.33390376
88 18155.txt -3169.92829057 -3164.40084022
89 1841.txt -1994.51690509 -1983.39451831
90 18450.txt -4767.50173117 -4810.84810733
91 18471.txt -10553.5965507 -10596.2529884
92 18509.txt -4621.17141509 -4619.84315682
93 18628.txt -3286.98845022 -3291.44885053
94 18645.txt -4200.39159722 -4199.80155471
95 18658.txt -12717.4428558 -12897.6417486
96 18740.txt -6043.46774602 -6096.07871379
97 18783.txt -2470.2635705 -2479.67459957
98 18921.txt -5788.86077122 -5793.8636397
99 18935.txt -1203.75826719 -1192.79979989
100 18981.txt -2045.14582153 -2043.96684983
101 19027.txt -3340.38270817 -3358.0607906
102 19532.txt -5831.0504363 -5790.58672705
103 19932.txt -4863.17278178 -4867.41876343
104 19973.txt -4983.65367007 -4990.39585077
105 20084.txt -4884.33042168 -4848.04842128
106 20112.txt -5855.45204033 -5867.40555149
107 20168.txt -5629.27727412 -5591.83021837
108 20260.txt -4246.65165102 -4235.96348234
109 2029.txt -4153.84282013 -4139.39394918
110 20426.txt -6430.11651458 -6406.52243459
111 20488.txt -7387.20113967 -7417.78061054
112 20929.txt -5677.67132297 -5664.66140806
113 21103.txt -4289.28272908 -4310.67343406
114 21565.txt -5666.63891919 -5615.92586923
115 21695.txt -5813.27865595 -5749.20346363
116 21821.txt -5124.2839424 -5143.08978224
117 21930.txt -4291.37830205 -4248.24419801
118 22192.txt -4448.11620521 -4473.83992422
119 22209.txt -2958.92463044 -2930.05942603
120 22488.txt -2294.16724203 -2309.13330421
121 22928.txt -5353.06813972 -5381.98075622
122 22941.txt -3492.98585409 -3512.15565156
123 23113.txt -9760.88369851 -9692.1607107
124 23547.txt -3468.84355123 -3442.10934205
125 23776.txt -5946.00393469 -6007.62379458
126 23841.txt -10415.0076117 -10457.1761931
127 24218.txt -4503.50982569 -4524.96302647
128 24219.txt -3850.18118238 -3827.22810284
129 24303.txt -2866.78827771 -2866.44011999
130 24353.txt -3101.78800912 -3103.99592438
131 24606.txt -2686.79118717 -2709.0324145
132 24953.txt -9540.69311889 -9511.64746413
133 24977.txt -5639.78453335 -5618.13575359
134 25001.txt -6299.9339292 -6314.09399368
135 25240.txt -4557.55446712 -4527.66787499
136 25413.txt -5635.72896131 -5607.0490277
137 25663.txt -1407.56811725 -1405.99838764
138 25870.txt -4166.80255632 -4116.59435171
139 26071.txt -3757.42405441 -3761.01339393
140 26154.txt -2862.80208838 -2847.49675134
141 26375.txt -4684.88514657 -4684.71005617
142 26417.txt -3831.47375079 -3833.87529288
143 26688.txt -4738.02991677 -4721.1095953
144 26837.txt -5143.6173454 -5159.58665665
145 2693.txt -3498.79965064 -3489.39055786
146 27080.txt -3961.74470905 -3949.28579812
147 2856.txt -2980.36042899 -2958.20585277
148 28671.txt -4849.95457955 -4847.39648366
149 28742.txt -2177.09493286 -2174.68308705
150 28832.txt -4505.6111032 -4520.25525247
151 28877.txt -4235.15716125 -4223.3002769
152 28965.txt -4210.40731592 -4202.87332018
153 29007.txt -6379.53187824 -6384.20810399
154 29114.txt -5786.45675821 -5826.38142507
155 29127.txt -2828.36227567 -2829.129215
156 29252.txt -5808.56820153 -5817.22494397
157 29397.txt -3676.04550421 -3656.95502619
158 29423.txt -2129.01040443 -2111.22929283
159 29484.txt -4390.45794223 -4368.81089295
160 29540.txt -3839.74360795 -3856.65831727
161 29565.txt -1838.01248028 -1832.24836771
162 29622.txt -3670.18508928 -3685.44301504
163 29715.txt -4548.56537242 -4534.72828587
164 29737.txt -4665.31135726 -4677.95595293
165 3193.txt -4379.78116227 -4373.63179338
166 3541.txt -5063.3449942 -5081.21891826
167 4776.txt -3297.91247092 -3270.71214014
168 4938.txt -2923.58409339 -2937.05339334
169 5046.txt -7538.42606179 -7602.12840994
170 5152.txt -2719.0373171 -2711.29609301
171 5562.txt -7109.09636273 -7086.60086641
172 5578.txt -2354.59107091 -2339.74772233
173 5626.txt -4131.67821773 -4128.9355322
174 5674.txt -3378.20965119 -3390.11848846
175 5682.txt -3439.21006857 -3459.94637896
176 5788.txt -7949.12404809 -7986.80126417
177 5794.txt -3951.18429641 -3941.42671566
178 5964.txt -4780.37286236 -4756.537236
179 6021.txt -6189.85667781 -6162.99003546
180 6359.txt -4395.34680296 -4416.80677524
181 6836.txt -5721.41760165 -5760.49210086
182 6895.txt -5416.46700133 -5420.6629464
183 6965.txt -1446.24707203 -1445.13548896
184 7078.txt -3369.69049938 -3345.03842162
185 7208.txt -5278.62558419 -5289.78678806
186 7394.txt -5000.53182783 -4945.35646359
187 8737.txt -3355.31854667 -3362.70129538
188 8841.txt -3181.58288228 -3166.91329029
189 8969.txt -5019.24040297 -5053.82247156
190 9059.txt -2926.92038636 -2916.48141278
191 9168.txt -8051.38347311 -8057.53679179
192 9342.txt -3677.73444135 -3665.03774091
193 9459.txt -3235.44286712 -3212.38529522
194 9478.txt -8072.04517833 -8002.60091578
195 9803.txt -3668.47424848 -3688.11331285
196 9811.txt -4024.19796161 -4022.22189015
197 9813.txt -3900.92595039 -3874.13375278
198 9816.txt -3399.3290321 -3389.05913829
199 9960.txt -3964.76164312 -3958.08868744
200 9973.txt -2487.53172692 -2491.91282286

Percentage of positive and negative reviews:
neg_count: 110 pos_count: 90
