Predictions for test data after removing special characters, using Dirichlet smoothing technique:

No. Filename Pos_probability Neg_probability
1 10066.txt -7508.60081829 -7594.58760266
2 10073.txt -10638.3295813 -10538.4971683
3 10171.txt -7742.60054134 -7572.94022015
4 10185.txt -2002.22283306 -1994.04611089
5 10220.txt -1745.69429786 -1761.35610713
6 10246.txt -3807.16902985 -3983.20430125
7 10267.txt -1505.82397553 -1538.06670232
8 10331.txt -5639.65145484 -5737.75119644
9 10583.txt -3278.53855873 -3293.17848075
10 10601.txt -3900.49977921 -3864.81880902
11 10681.txt -4889.41051276 -4995.22565023
12 10706.txt -3567.57024992 -3511.37197811
13 10718.txt -4433.39538743 -4450.88263157
14 10724.txt -2951.20515994 -2937.68670649
15 10800.txt -3124.74164979 -3068.69252073
16 10874.txt -3926.85016408 -4028.46530698
17 10926.txt -3466.56712066 -3488.93636333
18 10953.txt -2973.68999444 -2985.3409881
19 10981.txt -5901.85513333 -5990.30338544
20 11017.txt -1682.9059642 -1679.10078029
21 11051.txt -2702.60709677 -2891.03878058
22 11247.txt -2784.89392097 -2781.19273952
23 11316.txt -1967.5500358 -1958.8232091
24 11471.txt -5241.45305288 -5229.66022703
25 11491.txt -2185.27141155 -2159.3991005
26 11591.txt -6717.52264472 -6907.54032546
27 11592.txt -2071.00455022 -2110.30805949
28 11609.txt -4926.21545777 -5019.39726432
29 11790.txt -5019.3899847 -4903.64529754
30 11816.txt -5513.43386566 -5386.24760492
31 11851.txt -4539.18644609 -4264.2035071
32 11920.txt -8448.89542111 -8430.87489349
33 11934.txt -1850.2925139 -1848.91078263
34 11951.txt -5169.33410812 -4994.07989798
35 11962.txt -9294.992451 -9149.19547727
36 12160.txt -6074.68663851 -6115.50888978
37 12162.txt -4097.62475887 -4213.63554266
38 12256.txt -6992.00443368 -7059.19626203
39 12270.txt -3483.13970735 -3441.35545371
40 12332.txt -5280.94435316 -5204.18473734
41 12350.txt -3386.78855698 -3390.17133189
42 12443.txt -1869.81657536 -1835.1586123
43 12447.txt -6427.24261047 -6394.23964583
44 12547.txt -7791.17491343 -7604.11676562
45 12747.txt -2697.92363856 -2781.81347581
46 12767.txt -3571.66470324 -3628.95751513
47 12806.txt -5962.12018927 -5930.76846109
48 13012.txt -3487.75206442 -3389.1098748
49 13020.txt -3510.90454938 -3490.82351575
50 13106.txt -6465.2265403 -6785.86175392
51 13217.txt -4317.84679419 -4239.15559173
52 13229.txt -5183.56815378 -5126.04102385
53 13250.txt -3735.27097919 -3768.62608915
54 13401.txt -3771.42403299 -3697.66861484
55 13475.txt -6235.40488541 -6335.14066965
56 13478.txt -8478.09218656 -8396.0046532
57 13521.txt -5608.94824539 -5672.74877234
58 13527.txt -7635.54645987 -7585.14573185
59 13988.txt -5884.93078503 -5809.79236949
60 14006.txt -2992.08883313 -2979.51775105
61 14111.txt -3829.24345245 -3890.67534429
62 14611.txt -2598.50817239 -2588.03592637
63 14636.txt -3324.78458575 -3306.40593384
64 14760.txt -1492.6170839 -1489.63473999
65 14854.txt -2939.44386739 -2888.42940303
66 14949.txt -2811.61011068 -2741.47534713
67 14989.txt -4339.51295131 -4404.70718
68 15042.txt -3827.09592358 -3836.93162371
69 15092.txt -3510.49599744 -3477.82186144
70 15467.txt -4012.45290537 -4145.0567769
71 15691.txt -3643.37075316 -3611.38382848
72 15824.txt -5330.28686346 -5155.99227428
73 15954.txt -10034.7646084 -10290.1414657
74 16009.txt -10349.546 -10401.8917276
75 16218.txt -3642.90772372 -3549.22533138
76 16380.txt -3426.01835235 -3516.27911693
77 16679.txt -5430.31621771 -5426.97061459
78 16908.txt -6159.57251544 -6247.83902951
79 17034.txt -2980.88218932 -2918.33336604
80 17059.txt -3219.79116155 -3266.66789833
81 17082.txt -3834.30812736 -3835.92102033
82 17297.txt -2721.7717378 -2683.90860593
83 17473.txt -3604.9671071 -3549.61166167
84 17563.txt -1999.56018551 -2049.23652253
85 17705.txt -3923.87990076 -3977.69896391
86 17779.txt -6144.66538975 -6143.98082352
87 17822.txt -4795.76916307 -4919.60662656
88 18155.txt -3022.84020003 -2971.34110914
89 1841.txt -1840.84105979 -1821.48129261
90 18450.txt -4400.22004219 -4504.69278287
91 18471.txt -9639.87502828 -9782.41786459
92 18509.txt -4203.69520771 -4201.79427085
93 18628.txt -3074.80294427 -3083.59700823
94 18645.txt -3901.48171427 -3898.62895903
95 18658.txt -11656.285613 -12122.3260419
96 18740.txt -5540.2461137 -5644.00932934
97 18783.txt -2251.0589413 -2264.5012793
98 18921.txt -5410.98836433 -5428.26531188
99 18935.txt -1115.5882011 -1098.65569422
100 18981.txt -1864.2916778 -1864.38756925
101 19027.txt -3094.48223031 -3124.6464341
102 19532.txt -5453.52837609 -5384.10191034
103 19932.txt -4541.03984638 -4615.63553243
104 19973.txt -4535.5069774 -4581.33457704
105 20084.txt -4627.09508088 -4509.91752339
106 20112.txt -5453.00654403 -5489.91066218
107 20168.txt -5126.9408837 -5076.04126319
108 20260.txt -3912.13285967 -3904.25381695
109 2029.txt -3867.90280321 -3840.36002688
110 20426.txt -5941.65148089 -5903.96620911
111 20488.txt -6903.04903737 -6939.00309922
112 20929.txt -5262.23668203 -5237.18301036
113 21103.txt -3992.43064952 -4072.49655674
114 21565.txt -5288.4642465 -5212.31549214
115 21695.txt -5643.34743227 -5448.34632221
116 21821.txt -4745.01904938 -4795.96521747
117 21930.txt -4030.76215842 -3889.07884584
118 22192.txt -4131.36283156 -4239.42409298
119 22209.txt -2830.75600866 -2739.45712179
120 22488.txt -2151.18838503 -2187.50758454
121 22928.txt -4945.36943031 -5063.29907818
122 22941.txt -3165.91446503 -3224.9496758
123 23113.txt -9189.6808321 -8895.77031621
124 23547.txt -3368.66687677 -3231.81151904
125 23776.txt -5530.1714175 -5652.97834707
126 23841.txt -9831.46096781 -10051.11621
